resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,reason
1080p,1920,1080,128,128,11,16,1024,50.0,is,run_2c8f84abd893,b3d9dd39c107,2c8f84abd893,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,1024,50.0,is,run_2c8f84abd893,2431cefc8dfa,2c8f84abd893,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,800.0,is,run_6e7039b2a937,0b0469f16456,6e7039b2a937,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,8,256,200.0,is,run_ca56b0ed5c81,37140e48b4f9,ca56b0ed5c81,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,200.0,is,run_ca56b0ed5c81,38b77323d521,ca56b0ed5c81,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,8,256,200.0,is,run_ca56b0ed5c81,99c707f863b2,ca56b0ed5c81,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,16,256,200.0,is,run_3ac3ce362e78,19731e637e34,3ac3ce362e78,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,16,256,200.0,is,run_3ac3ce362e78,594f3735893e,3ac3ce362e78,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,16,256,200.0,is,run_3ac3ce362e78,65cad5bd81af,3ac3ce362e78,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,8,256,200.0,is,run_f0e2c8fc865e,37c55e4e5942,f0e2c8fc865e,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
720p,1280,720,128,128,11,32,256,200.0,is,run_0afe1c17ac94,c7eb49a7da3d,0afe1c17ac94,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,32,256,200.0,is,run_0afe1c17ac94,49d83d8b5c82,0afe1c17ac94,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
hires,2048,2048,128,128,11,32,256,200.0,is,run_0afe1c17ac94,cf94a97110a0,0afe1c17ac94,full,SCALE-Sim input-stationary demand generation is pathological for 11x11 Gaussian full 128x128 tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
1080p,1920,1080,128,128,11,128,256,50.0,is,run_e69d07b311bc,400dbc142bdf,e69d07b311bc,bottom_edge,SCALE-Sim input-stationary demand generation is pathological for large-kernel 128-wide tiles in this GEMM-lowered workload; the demand matrices grow excessively and this case is excluded from simulator execution.
